"ID bat";"Nom du Batiment";"Niveau du batiment";"Bois";"Argile";"Fer";"CC";"Conso cc";"Durée construction";"PC total";"Prod";"Temps de construction (BP)";"Augmentation"
"41";"Abreuvoir";"1";"780";"420";"660";"540";"5";"00:36:40";"4";;;
"41";"Abreuvoir";"2";"1000";"540";"845";"690";"3";"00:52:30";"4";;;
"41";"Abreuvoir";"3";"1280";"690";"1080";"885";"3";"01:11:00";"5";;;
"41";"Abreuvoir";"4";"1635";"880";"1385";"1130";"3";"01:32:20";"6";;;
"41";"Abreuvoir";"5";"2095";"1125";"1770";"1450";"3";"01:57:00";"7";;;
"41";"Abreuvoir";"6";"2680";"1445";"2270";"1855";"3";"02:25:50";"9";;;
"41";"Abreuvoir";"7";"3430";"1845";"2905";"2375";"3";"02:59:10";"11";;;
"41";"Abreuvoir";"8";"4390";"2365";"3715";"3040";"3";"03:37:50";"13";;;
"41";"Abreuvoir";"9";"5620";"3025";"4755";"3890";"3";"04:22:40";"15";;;
"41";"Abreuvoir";"10";"7195";"3875";"6085";"4980";"3";"05:14:40";"19";;;
"41";"Abreuvoir";"11";"9210";"4960";"7790";"6375";"4";"06:15:00";"22";;;
"41";"Abreuvoir";"12";"11785";"6345";"9975";"8160";"4";"07:25:00";"27";;;
"41";"Abreuvoir";"13";"15085";"8125";"12765";"10445";"4";"08:46:10";"32";;;
"41";"Abreuvoir";"14";"19310";"10400";"16340";"13370";"4";"10:20:20";"39";;;
"41";"Abreuvoir";"15";"24720";"13310";"20915";"17115";"4";"12:09:40";"46";;;
"41";"Abreuvoir";"16";"31640";"17035";"26775";"21905";"4";"14:16:20";"55";;;
"41";"Abreuvoir";"17";"40500";"21810";"34270";"28040";"4";"16:43:20";"67";;;
"41";"Abreuvoir";"18";"51840";"27915";"43865";"35890";"4";"19:33:50";"80";;;
"41";"Abreuvoir";"19";"66355";"35730";"56145";"45940";"4";"22:51:40";"96";;;
"41";"Abreuvoir";"20";"84935";"45735";"71870";"58800";"4";"26:41:10";"115";;;
"39";"Grand silo";"1";"400";"500";"350";"100";"1";"01:56:40";"1";;;
"39";"Grand silo";"2";"510";"640";"450";"130";"1";"02:20:20";"1";;;
"39";"Grand silo";"3";"655";"820";"575";"165";"1";"02:47:50";"2";;;
"39";"Grand silo";"4";"840";"1050";"735";"210";"1";"03:19:40";"2";;;
"39";"Grand silo";"5";"1075";"1340";"940";"270";"1";"03:56:30";"2";;;
"39";"Grand silo";"6";"1375";"1720";"1205";"345";"1";"04:39:30";"3";;;
"39";"Grand silo";"7";"1760";"2200";"1540";"440";"1";"05:29:10";"4";;;
"39";"Grand silo";"8";"2250";"2815";"1970";"565";"1";"06:26:50";"4";;;
"39";"Grand silo";"9";"2880";"3605";"2520";"720";"1";"07:33:40";"5";;;
"39";"Grand silo";"10";"3690";"4610";"3230";"920";"1";"08:51:20";"6";;;
"39";"Grand silo";"11";"4720";"5905";"4130";"1180";"2";"10:21:20";"7";;;
"39";"Grand silo";"12";"6045";"7555";"5290";"1510";"2";"12:05:40";"9";;;
"39";"Grand silo";"13";"7735";"9670";"6770";"1935";"2";"14:06:50";"11";;;
"39";"Grand silo";"14";"9905";"12380";"8665";"2475";"2";"16:27:20";"13";;;
"39";"Grand silo";"15";"12675";"15845";"11090";"3170";"2";"19:10:10";"15";;;
"39";"Grand silo";"16";"16225";"20280";"14200";"4055";"2";"22:19:20";"18";;;
"39";"Grand silo";"17";"20770";"25960";"18175";"5190";"2";"25:58:30";"22";;;
"39";"Grand silo";"18";"26585";"33230";"23260";"6645";"2";"30:13:00";"27";;;
"39";"Grand silo";"19";"34030";"42535";"29775";"8505";"2";"35:08:00";"32";;;
"39";"Grand silo";"20";"43555";"54445";"38110";"10890";"2";"40:50:20";"38";;;
"38";"Grand depot";"1";"650";"800";"450";"200";"1";"02:30:00";"1";;;
"38";"Grand depot";"2";"830";"1025";"575";"255";"1";"02:59:00";"1";;;
"38";"Grand depot";"3";"1065";"1310";"735";"330";"1";"03:32:40";"2";;;
"38";"Grand depot";"4";"1365";"1680";"945";"420";"1";"04:11:40";"2";;;
"38";"Grand depot";"5";"1745";"2145";"1210";"535";"1";"04:57:00";"2";;;
"38";"Grand depot";"6";"2235";"2750";"1545";"685";"1";"05:49:30";"3";;;
"38";"Grand depot";"7";"2860";"3520";"1980";"880";"1";"06:50:20";"4";;;
"38";"Grand depot";"8";"3660";"4505";"2535";"1125";"1";"08:01:00";"4";;;
"38";"Grand depot";"9";"4685";"5765";"3245";"1440";"1";"09:23:00";"5";;;
"38";"Grand depot";"10";"5995";"7380";"4150";"1845";"1";"10:58:00";"6";;;
"38";"Grand depot";"11";"7675";"9445";"5315";"2360";"2";"12:48:20";"7";;;
"38";"Grand depot";"12";"9825";"12090";"6800";"3020";"2";"14:56:20";"9";;;
"38";"Grand depot";"13";"12575";"15475";"8705";"3870";"2";"17:24:40";"11";;;
"38";"Grand depot";"14";"16095";"19805";"11140";"4950";"2";"20:16:50";"13";;;
"38";"Grand depot";"15";"20600";"25355";"14260";"6340";"2";"23:36:30";"15";;;
"38";"Grand depot";"16";"26365";"32450";"18255";"8115";"2";"27:28:10";"18";;;
"38";"Grand depot";"17";"33750";"41540";"23365";"10385";"2";"31:56:50";"22";;;
"38";"Grand depot";"18";"43200";"53170";"29910";"13290";"2";"37:08:30";"27";;;
"38";"Grand depot";"19";"55295";"68055";"38280";"17015";"2";"43:10:00";"32";;;
"38";"Grand depot";"20";"70780";"87110";"49000";"21780";"2";"50:09:30";"38";;;
"37";"Manoir ";"1";"700";"670";"700";"240";"2";"00:38:20";"1";;;
"37";"Manoir ";"2";"930";"890";"930";"320";"1";"00:44:30";"1";;;
"37";"Manoir ";"3";"1240";"1185";"1240";"425";"1";"00:51:30";"2";;;
"37";"Manoir ";"4";"1645";"1575";"1645";"565";"1";"00:59:50";"2";;;
"37";"Manoir ";"5";"2190";"2095";"2190";"750";"1";"01:09:20";"2";;;
"37";"Manoir ";"6";"2915";"2790";"2915";"1000";"2";"01:20:30";"3";;;
"37";"Manoir ";"7";"3875";"3710";"3875";"1330";"2";"01:33:20";"4";;;
"37";"Manoir ";"8";"5155";"4930";"5155";"1765";"2";"01:48:20";"4";;;
"37";"Manoir ";"9";"6855";"6560";"6855";"2350";"2";"02:05:40";"5";;;
"37";"Manoir ";"10";"9115";"8725";"9115";"3125";"2";"02:25:50";"6";;;
"37";"Manoir ";"11";"12125";"11605";"12125";"4155";"2";"02:49:10";"7";;;
"37";"Manoir ";"12";"16125";"15435";"16125";"5530";"2";"03:16:10";"9";;;
"37";"Manoir ";"13";"21445";"20525";"21445";"7350";"2";"03:47:30";"11";;;
"37";"Manoir ";"14";"28520";"27300";"28520";"9780";"2";"04:24:00";"13";;;
